company_id,type,rule_id,text,confidence_pct
ABB,Pro,P1,Consistently high ROE indicates efficient capital utilisation.,90
ABB,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
ABB,Pro,P1,Consistently high ROE indicates efficient capital utilisation.,90
ABB,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
ADANIENSOL,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
ADANIENSOL,Pro,P4,Revenue CAGR above 15% reflects strong business growth.,88
ADANIENSOL,Pro,P5,High operating margin indicates strong pricing power.,82
ADANIENSOL,Con,C1,High debt-to-equity ratio requires monitoring.,90
ADANIENT,Pro,P4,Revenue CAGR above 15% reflects strong business growth.,88
ADANIENT,Con,C2,Negative Free Cash Flow raises cash generation concerns.,88
ADANIGREEN,Pro,P4,Revenue CAGR above 15% reflects strong business growth.,88
ADANIGREEN,Pro,P5,High operating margin indicates strong pricing power.,82
ADANIGREEN,Con,C1,High debt-to-equity ratio requires monitoring.,90
ADANIGREEN,Con,C2,Negative Free Cash Flow raises cash generation concerns.,88
ADANIPORTS,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
ADANIPORTS,Pro,P4,Revenue CAGR above 15% reflects strong business growth.,88
ADANIPORTS,Pro,P5,High operating margin indicates strong pricing power.,82
ADANIPORTS,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
ADANIPORTS,Pro,P4,Revenue CAGR above 15% reflects strong business growth.,88
ADANIPORTS,Pro,P5,High operating margin indicates strong pricing power.,82
ADANIPOWER,Pro,P1,Consistently high ROE indicates efficient capital utilisation.,90
ADANIPOWER,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
ADANIPOWER,Pro,P4,Revenue CAGR above 15% reflects strong business growth.,88
ADANIPOWER,Pro,P5,High operating margin indicates strong pricing power.,82
AMBUJACEM,Con,C2,Negative Free Cash Flow raises cash generation concerns.,88
AMBUJACEM,Con,C5,Low revenue growth indicates weak business momentum.,80
APOLLOHOSP,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
ASIANPAINT,Pro,P1,Consistently high ROE indicates efficient capital utilisation.,90
ASIANPAINT,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
ASIANPAINT,Pro,P1,Consistently high ROE indicates efficient capital utilisation.,90
ASIANPAINT,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
BAJAJ-AUTO,Pro,P1,Consistently high ROE indicates efficient capital utilisation.,90
BAJAJ-AUTO,Pro,P2,Positive Free Cash Flow reflects healthy business fundamentals.,85
BAJAJ-AUTO,Pro,P1,Consistently high ROE indicates efficient capital utilisation.,90
